Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C232862,QRE1113GR,onsemi,SMD-4P,IR SENSOR,1mm SMD-4P Reflective - Analog Output RoHS,yes,20,1,1,0.5207,10.41,https://www.lcsc.com/product-detail/C232862.html
2,C347475,AO3400A,UMW,SOT-23,COMMON NMOS,N-Channel 30V 5.8A 1.4W Surface Mount SOT-23,yes,20,20,20,0.0326,0.65,https://www.lcsc.com/product-detail/C347475.html
3,C20754789,1N4001 M1,JSMSEMI,SMA,COMMON DIODE,Diode Independent 50V 1A Surface Mount SMA,yes,100,100,100,0.0039,0.39,https://www.lcsc.com/product-detail/C20754789.html
4,C7528871,1N4007W,MSKSEMI,SOD-123FL,COMMON DIODE,Diode Independent 1kV 1A Surface Mount SOD-123FL,yes,100,100,100,0.0043,0.43,https://www.lcsc.com/product-detail/C7528871.html
5,C917030,1N4148W,JSMSEMI,SOD-123,COMMON DIODE,Diode Independent 100V 300mA Surface Mount SOD-123,yes,100,100,100,0.0058,0.58,https://www.lcsc.com/product-detail/C917030.html
6,C4153827,"TBD62083AFNG(Z,EL)",TOSHIBA,SSOP-18-225mil,NMOS ARRAY,"8 1 0.4us@50V,15pF SSOP-18-225mil Buffers, Drivers, Receivers, Transceivers RoHS",yes,5,1,1,0.6977,3.49,https://www.lcsc.com/product-detail/C4153827.html
7,C5620,"74HC238D,653",Nexperia,SOIC-16,DEMUX,"3/8 2V~6V 160uA 14ns@6.0V,15pF SOIC-16 Signal Switches, Multiplexers, Decoders RoHS",yes,5,1,1,0.6030,3.02,https://www.lcsc.com/product-detail/C5620.html
8,C81464,MMBT3904LT1G,onsemi,SOT-23,COMMON BJT NPN,Bipolar (BJT) Transistor NPN 40V 200mA 300MHz 225mW Surface Mount SOT-23,yes,50,50,50,0.0142,0.71,https://www.lcsc.com/product-detail/C81464.html
9,C510024,SML-D12D8WT86,ROHM,0603,ORANGE LED,Amber LED Indication - Discrete 2.2V 0603,yes,10,5,5,0.0837,0.84,https://www.lcsc.com/product-detail/C510024.html
10,C5151952,JS05A-08P-100-3-4,JUSHUO,P=0.5mm,FFC CABLE,"8 Position FFC, FPC Cable 0.5mm 10cm",yes,5,5,5,0.1043,0.52,https://www.lcsc.com/product-detail/C5151952.html
11,C5371204,JS05A-08P-120-4-8,JUSHUO,P=0.5mm,FFC CABLE,"8 Position FFC, FPC Cable 0.5mm 12cm",yes,5,5,5,0.1047,0.52,https://www.lcsc.com/product-detail/C5371204.html
12,C5371203,JS05A-08P-080-4-8,JUSHUO,P=0.5mm,FFC CABLE,"8 Position FFC, FPC Cable 0.5mm 8cm",yes,5,5,5,0.0975,0.49,https://www.lcsc.com/product-detail/C5371203.html
13,C2918511,CS3225X7R226K250NRL,SAMWHA,1210,BULK CAP,22uF ±10% 25V Ceramic Capacitor X7R 1210,yes,10,5,5,0.0923,0.92,https://www.lcsc.com/product-detail/C2918511.html
14,C35879,LD1117S33CTR,ST,SOT-223-4,LDO,"3.3V Positive Fixed SOT-223-4 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,5,5,5,0.1303,0.65,https://www.lcsc.com/product-detail/C35879.html
15,C89358,MT2492,XI'AN Aerosemi Tech,SOT-23-6,BUCK DC DC,600kHz Step-down type Adjustable 2A 4.5V~16V SOT-23-6 Voltage Regulators - DC DC Switching Regulators RoHS,yes,20,20,20,0.0443,0.89,https://www.lcsc.com/product-detail/C89358.html
16,C1855818,DRV8874PWPR,TI,HTSSOP-16-EP,H-BRIDGE,"HTSSOP-16-EP Motor Drivers, Controllers RoHS",yes,5,1,1,0.9819,4.91,https://www.lcsc.com/product-detail/C1855818.html
